grant_num,funder,prj_name,website,loc_notes,y_coord,x_coord,strt_date,end_date,completed,prj_desc,rest_activity,icon,map_icon
0910-E-WA-N,Skagit River System Cooperative,Turner's Bay Lagoon Reconnection,http://www.skagitcoop.org/,GOOD,48.45,-122.55,5/29/2009,3/15/2012,0,"Grant funding provided to the Turner's Bay Lagoon Project is helping restore fish access and unmuted tidal flow to a 60-acre pocket estuary. Tidal flow is currently limited by a non-functioning tide gate at a road crossing.  Work completed during this phase focused on protection of existing site infrastructure, including a natural gas pipeline and other utilities, local properties, and a county road, so that removal of the road prism could then proceed.","Tidegate Replacement or Removal, Road Decommissioned or Closed, Wetland Restoration",Barrier Removal,1
1010-EP-WA-NF,Mid-Columbia Fisheries Enhancement Group,Wind River Watershed Fish Passage Improvement,http://midcolumbiarfeg.com/,,45.785186,-121.946133,5/20/2010,11/30/2012,0,"The Wind River Watershed Fish Passage Improvement project decommissioned 2.5 miles of road and eliminated culverts at a total of 20 stream crossings, four of which were passage barriers. Additionally, a small concrete dam will be removed on Martha Creek, a tributary to Trout Creek in the Wind River basin, and replanting of trees occurred in the riparian zone.","Culvert Removal, Push-up or Diversion Dam Removal, Road Decommissioned or Closed, Riparian Planting and Revegetation",Barrier Removal,1
0815-E-OR-NF,The Wetlands Conservancy,Bayview Oxbow Reconnection Study,http://oregonwetlands.net/,,44.446283,-124.043175,6/26/2008,12/31/2009,1,"This grant provided funding to the Wetlands Conservancy for the Bayview Oxbow Reconnection Feasibility Study. The study assessed the feasibility and actions required to restore historic connections and high marsh habitat of the Bayview Oxbow site. The Wetlands Conservancy has purchased a large portion of the site, which was a former tidal wetland connected to Alsea Bay.","Baseline or Project Monitoring; Assessment, Planning, or Design",Instream Restoration,2
1106-E-OR-F,USDA Forest Service - Malheur National Forest,Camp Creek Watershed Large Wood Placement,http://www.fs.usda.gov/malheur/,,44.63,-118.826141,8/15/2011,6/30/2013,0,"Project activities will include felling of trees into Lick Creek to restore instream channel complexity, increase pool frequency, protect and establish riparian hardwoods within the floodplain, facilitate stream channel narrowing, establish floodplain connectivity where the channel is incised, and inhibit access to the stream floodplain by livestock.  All  described activities will benefit Middle Columbia River Steelhead, their designated critical habitat within coldwater headwater refugia of the Camp Creek Watershed, and facilitate resistance and resilience within the riparian areas to natural disturbances and climate change in the future.","Instream Large Wood Placement, Thinning",Instream Restoration,2
1008-E-ID-N,Latah Soil and Water Conservation District ,Corral Creek Racetrack Meadow Phase 1,http://www.latahsoil.org/,,46.803645,-116.474948,4/13/2010,6/30/2011,1,"All phases of this project will restore 0.21 stream miles of Corral Creek and 13.7 acres of riparian and wetland area that were negatively impacted by historic channel straightening and floodplain compaction by horse racing. The ultimate goal is to return the stream to its historic channel, re-establish vegetation in some of the riparian areas, and construct practices to slow water flow to hydrate the surrounding meadow and enhance groundwater recharge. Funding supported an engineering analysis, restoration plan design, and initiation of permitting. ","Assessment, Planning, or Design; Baseline or Project Monitoring",Instream Restoration,2
1105-E-ID-N,Latah Soil and Water Conservation District ,Corral Creek Racetrack Meadow Phase 2,http://www.latahsoil.org/,,46.824,-116.49,12/1/2011,12/1/2013,0,"Phase 2 of the Corral Creek Racetrack project will include completion of the permitting and consultation process, development of a conservation plan and contract with the private landowner, initiation of long-term water and vegetation monitoring, collection of plant materials, instream construction (diversions and channel plugs), road decommissioning, revegetation, and installation of riparian exclusion fencing.  This project will complement nearby restoration projects completed in this watershed to improve habitat for Snake River A-run (wild) steelhead.","Assessment, Planning, or Design; Baseline or Project Monitoring",Instream Restoration,2
1107-E-WA-NF,Mount St. Helens Institute,East Fork Lewis and Muddy River Habitat Enhancement,http://www.mshinstitute.org/,,45.811394,-122.139031,7/6/2011,6/30/2013,0,"This project consists of habitat enhancement activities on both the East Fork Lewis River and the Muddy River. On the East Fork Lewis, 11 log jams constructed of full-length logs were placed by helicopter along 0.75 miles of the river. Approximately 40 log complexes will also be placed along one tributary and two side channels of the Muddy River. These 51 structures are intended to capture spawning gravel and create rearing pools along reaches that have been scoured as a result of historic anthropogenic activities.","Instream Large Wood Placement, Instream Log Jam Placement, Instream Rootwad Placement, Community Engagement, Baseline or Project Monitoring",Instream Restoration,2
1015-E-OR-NW,Partnership for the Umpqua Rivers,Elk Creek Watershed Salmon Recovery Project,http://www.umpquarivers.org/,,42.86,-122.88,7/23/2010,9/30/2011,1,"Funding provided to the Elk Creek Watershed Salmon Recovery Project assists with a community-based stream restoration project for the South Umpqua Elk Creek watershed. Two demonstration projects will rebuild instream habitat with logs and boulders and restore riparian areas with a mix of native plant species. Reestablishment of beaver colonies and their ponds will provide a complex and abundant nutrient supply for fish, as well as silt retention.","Instream Boulder Placement, Instream Large Wood Placement, Beaver Introduction or Management, Riparian Planting and Revegetation, Community Engagement",Instream Restoration,2
1002-E-WA-N,Columbia River Estuary Study Task Force (CREST),Grays River Whole Watershed Restoration Initiative,http://www.columbiaestuary.org/,,46.3692,-123.5568,4/13/2010,6/30/2011,1,"This phase of the Grays River Restoration Project began conceptual level restoration designs for three potential project sites: Gudmundsen, Sorenson, and Gorley Springs. Local high school students worked with the project manager for three weeks to learn and apply monitoring techniques. If implemented, these projects will restore 6,000 feet of riparian buffers (between 50 and 100 feet wide), improve in-channel complexity with up to 12 large wood structures, and improve floodplain connectivity for three critical reaches of the Grays River.","Assessment, Planning, or Design; Baseline or Project Monitoring; Community Engagement",Instream Restoration,2
0820-EP-OR-WF,Partnership for the Umpqua Rivers,Jackson Creek Watershed Restoration Phase 2,http://www.umpquarivers.org/,Moved this point in GIS to more approximate location-FIXED LAT LONG FIELDS DONE,42.992363,-122.5429,7/8/2008,12/31/2009,1,"Funding for Phase 2 of the Jackson Creek Restoration Project resulted in the installation of large wood complexes to the stream channels. A large helicopter installed stable wood complexes to 1 mile of Jackson Creek, 2 miles of Falcon Creek, 1 mile of Abbott Creek and the lower 3 miles of Black Canyon Creek.  These wood complexes restored velocity refuges, gravel accumulations, floodplain connectivity and reduced low-flow channel widths.","Instream Log Jam Placement, Instream Large Wood Placement, Instream Rootwad Placement",Instream Restoration,2
0909-E-OR-F,Siuslaw Watershed Council ,Knowles Creek Fish Passage Monitoring,http://www.siuslaw.org/,Moved this point in the GIS-but not in LAT LONG yet DONE,44.013226,-123.784744,4/23/2009,9/30/2011,1,"This grant has helped to fund Knowles Creek long-term fish passage monitoring efforts. Salmonids were marked and released up stream of a smolt trap, then recorded when they enter the trap on their outward migration. The trap is used to monitor long-term trends in fish populations, monitor response to restoration activities, and is used as an educational tool for local schools and the community.","Baseline or Project Monitoring, Community Engagement",Instream Restoration,2
1011-E-OR-NW,Geos Institute,Little Butte Creek Meander Restoration,http://www.geosinstitute.org/,,42.451389,-122.869722,8/2/2010,11/30/2011,1,"The Little Butte Creek Meander Restoration Project worked to restore a straightened channel to its historic channel meander.  Efforts resulted in: increasing the stream length by approximately 0.2 miles; increasing the channel and floodplain connection; and increasing habitat complexity with large wood, pools, alcoves and off-channel habitats, gravel beds, and fine sediment depositional areas.  Geomorphic riffles were constructed by adding gravels and cobbles to the historic channel.","Stream Channel Reconfiguration, Off-channel Alcove Habitat Construction, Instream Boulder Placement, Instream Gravel Placement, Instream Large Wood Placement, Instream Rootwad Placement, Instream Log Jam Placement, Riparian Planting and Revegetation",Instream Restoration,2
1020-E-WA-NF,Underwood Conservation District,Little Wind River Community Habitat Restoration,http://w3.gorge.net/ucd/,,45.727732,-121.791546,5/3/2010,12/31/2011,0,"The Little Wind Community Habitat Restoration Project aims to restore processes that currently limit the recovery of salmon and steelhead in the Little Wind River. Work will include placement of large wood to increase soil deposition at key sites, and reconnection of a historic floodplain side channel system. At other sites, placement of channel-spanning structures will increase available spawning habitat.","Stream Channel Connectivity, Off-channel Habitat Construction, Instream Boulder Placement, Instream Large Wood Placement, Instream Log Jam Placement",Instream Restoration,2
0809-E-OR-W,Stream Restoration Alliance of the Middle Rogue,Louse Creek Restoration,http://www.sramiddlerogue.org/,Correct,42.516311,-123.413811,4/20/2009,12/30/2009,1,"This grant provided funding for phases 2 and 3 of the Louse Creek Restoration Project's instream restoration efforts.  The grantee added 20 log structures and boulder clusters, re-profiled 800 feet of bank, and replanted a 50 ft. riparian buffer. The large wood complexes improves gravel retention & sorting for spawning salmon; enhances channel complexity and pool structure; provides high water refuge; and adds organic material to the aquatic system.","Streambank Stabilization, Instream Boulder Placement, Instream Log Jam Placement, Riparian Planting and Revegetation",Instream Restoration,2
0812-E-WA-NF,Skagit Fisheries Enhancement Group,Lower Finney Creek Restoration,http://www.skagitfisheries.org/,GOOD,48.5077,-121.8044,6/10/2008,12/31/2009,1,"Grant funding for the Lower Finney Creek Restoration Project placed 28 large wood complexes in a 1.6 mile reach of Finney Creek, improving stream habitat conditions for salmonids.  The large wood complexes increased channel complexity, storage of sediment, and riparian development.  This was the fifth and final phase of instream restoration efforts in Finney Creek.","Instream Large Wood Placement, Instream Log Jam Placement, Instream Rootwad Placement",Instream Restoration,2
1004-EP-OR-WF,Confederated Tribes of the Warm Springs Reservation of Oregon,McGee Creek In-channel and Floodplain Restoration,http://www.warmsprings.com/warmsprings/Tribal_Services/Natural_Resources/,,45.45195,-121.7769,11/2/2010,10/31/2011,1,"This project is one component of a larger effort to restore natural processes in the Upper West Fork Hood Rivers 6th field watershed. This phase of restoration efforts entailed placement of 24 large wood structures, consisting of 800 pieces of wood, in the channel and floodplain along 1.3 miles of lower McGee Creek. Reconnection of the stream channel with the floodplain in the lower 1.3 miles of McGee Creek will increase the quantity and quality of Chinook salmon and steelhead trout spawning and rearing habitat.","Instream Log Jam Placement, Instream Large Wood Placement, Instream Rootwad Placement, ",Instream Restoration,2
0810-E-OR-NWF,The Freshwater Trust,Middle Fork John Day Channel Relocation Phase I,http://www.thefreshwatertrust.org/,,44.742031,-118.850128,6/30/2008,10/31/2009,1,"This grant provided funding to assist the Middle Fork John Day Channel Relocation and Riparian Restoration Project. Project activities included: restoration of the river channel to its historic configuration, which increased the stream length by 2,705 feet; enhancement of channel complexity via addition of 600 pieces of wood; and restoration of channel-floodplain connectivity by reconnecting two disconnected meanders.","Stream Channel Reconfiguration, Off-channel Alcove Habitat Construction, Instream Boulder Placement, Instream Log Jam Placement, Wetland Enhancement, Riparian Planting and Revegetation",Instream Restoration,2
0902-E-OR-F,The Freshwater Trust,Middle Fork John Day Channel Relocation Phase II,http://www.thefreshwatertrust.org/,,44.729248,-118.845085,5/18/2009,12/31/2010,1,Grant funding for the Middle Fork John Day Channel Relocation and Riparian Restoration Project continued reconnection of two obstructed and disconnected meanders; enhancement of channel complexity via addition of 600 pieces of wood; and restoration of 28 acres of channel-floodplain connectivity and riparian vegetation.,"Stream Channel Reconfiguration, Off-channel Alcove Habitat Construction, Instream Boulder Placement, Instream Log Jam Placement, Wetland Enhancement, Riparian Planting and Revegetation",Instream Restoration,2
1016-EP-OR-WF,Partnership for the Umpqua Rivers,Middle/Upper Jackson Creek Salmon and Steelhead Restoration,http://www.umpquarivers.org/,,45.783333,-122.75,8/16/2010,12/31/2011,0,"The Middle/Upper Jackson Creek Salmon and Steelhead Restoration Project worked to restore instream habitat through placement of large wood complexes along five miles of the upper reaches of Jackson Creek.  Approximately 300 pieces of large wood were used to restore velocity refuges, gravel accumulations, floodplain connectivity and to reduce low flow wetted channel widths.","Instream Large Wood Placement, Instream Log Jam Placement",Instream Restoration,2
1001-E-WA-NF,Chelan County Natural Resource Department,Nason N1 Oxbow Reconnection,http://www.co.chelan.wa.us/nr/default.asp,,47.7612,-120.7308,5/10/2010,2/28/2011,1,"This grant funded a report by the Chelan County Natural Resources Department to evaluate six project alternatives for road repair at the Nason Creek N1/KDIZ3 site.  Various community stakeholders, including USFWS and Yakama Nation Fisheries, have supported the alternative to reconnect natural stream processes in 77 acres of disconnected floodplain, allowing fish passage, creating off-channel habitat, and providing at least 1.5 miles of additional stream channel length.","Assessment, Planning, or Design; Baseline or Project Monitoring; Community Engagement",Instream Restoration,2
0901-E-OR-N,Confederated Tribes of the Warm Springs Reservation of Oregon,Oxbow Conservation Instream Habitat,http://www.warmsprings.com/warmsprings/Tribal_Services/Natural_Resources/,,44.652794,-118.679267,4/9/2009,12/31/2009,1,"Funding provided for The Oxbow Conservation Area Instream Habitat Project assisted in one phase of a watershed-scale project to recover the Middle Fork John Day River aquatic ecosystem. Work included removal of 34 channel-restricting rock barbs, installation of 15 large wood structures to create scour pools and provide habitat, and construction of two mid-channel gravel bar enhancements.","Dike or Levee Removal, Instream Boulder Placement, Instream Rootwad Placement, Instream Large Wood Placement",Instream Restoration,2
1102-E-OR-WF,Confederated Tribes of the Warm Springs Reservation of Oregon,Oxbow Tailings Restoration Phases 1 & 2,http://www.warmsprings.com/warmsprings/Tribal_Services/Natural_Resources/,,44.642996,-118.660752,7/6/2011,6/30/2013,0,"This restoration project will address the most degraded segment of aquatic habitat along the Middle Fork John Day River to significantly enhance steelhead and Chinook salmon populations. This project is located on the 1,022-acre Oxbow Conservation Area, owned and managed by the Tribes specifically for long-term anadromous fish benefit. As a whole, the project will remove approximately 11,600 feet of dredge mining-created channels from the early 1940s, which offer little or poor habitat, enhance 5,400 feet of existing river channel with habitat-rich features, and construct 7,600 of new channels, offering complex, diverse habitat for all life-stages of anadromous and resident fish. The Oxbow Tailings Project has been split into three phases: phase one (2011) addresses the existing south channel habitat; phase two (2012) removes the north channel and reconnects Granite Boulder Creek; and phase three (2013) reconstructs the channel of the lower river portion, removing the dredged channel and reconnects Ruby Creek to the River.","Stream Channel Connectivity, Stream Channel Reconfiguration, Dike or Levee Removal, Instream Boulder Placement, Instream Large Wood Placement, Instream Rootwad Placement, Instream Log Jam Placement, Riparian Planting and Revegetation",Instream Restoration,2
1005-EP-OR-WF,Coquille Watershed Association,Restoring Salmonid Habitat & Stream Dynamics in Rock Creek Phase II,http://www.coquillewatershed.org/,,42.709444,-124.056944,7/14/2010,12/31/2011,0,"Phase II of this project on Rock Creek of the South Fork Coquille watershed included both instream and riparian work. Instream placement of log cribs and boulders will provide complex rearing habitat, narrow the channel, and add sinuosity while aggressively recruiting spawning gravels. These actions combined with replanting of riparian areas are an effort to rectify the historic practices of riparian harvest, placer hydro mining and 'stream cleaning.'","Instream Log Jam Placement, Instream Large Wood Placement, Instream Boulder Placement, Riparian Planting and Revegetation",Instream Restoration,2
1006-E-OR-N,The Freshwater Trust,Rudio Creek Ranch Habitat Restoration Project,http://www.thefreshwatertrust.org/,GOOD,44.743869,-119.543578,5/3/2010,12/31/2011,0,"The Rudio Creek Ranch Restoration Project is a large-scale effort to restore this tributary of the North Fork John Day River. The project's objectives are to increase stream length and complexity, restore natural floodplain function, and restore riparian habitat for steelhead and spring Chinook. Project activities will include reconnection of the stream to its historic channel, and increasing channel, riparian and floodplain complexity along 2.4 miles of Rudio Creek.","Stream Channel Reconfiguration; Off-channel Pond Habitat Construction; Baseline or Project Monitoring; Assessment, Planning, or Design",Instream Restoration,2
0806-EP-WA-NF,Methow Conservancy,Salmon Habitat Restoration Through Beaver Reintroduction,http://www.methowconservancy.org,Kate is verifying location DONE,48.547436,-120.184715,5/14/2008,9/30/2009,1,"This grant supported the Methow Conservancy's efforts to use beavers to restore wetland and riparian habitat characteristics. This project relocated 54 beavers between 2008 and 2009 to six sites in both Cub and Libby Creeks. The beavers established at least six active sites. Beaver dam building and tree cutting resulted in increased water storage, higher late season flows, improved water quality, reductions in sedimentation, increased large wood recruitment, and increased channel complexity.","Beaver Introduction or Management, Community Engagement",Instream Restoration,2
0817-EP-OR-WF,USDA Forest Service - Mt. Hood National Forest,Salmon River Side Channel Reconnection,http://www.fs.usda.gov/mthood/,,45.349899,-121.989799,6/15/2008,11/30/2010,1,"Funding provided to the Salmon River Watershed Restoration Project assisted in the restoration of three historic side channels and decommissioning of 1.6 miles of road into trail.  These three side-channels provide salmon and trout species with over 2.04 acres of newly reclaimed, high quality off-channel habitat.","Side-channel Habitat Construction, Off-channel Alcove Habitat Construction, Instream Large Wood Placement, Instream Rootwad Placement, Instream Log Jam Placement, Riparian Planting and Revegetation, Road Decommissioned or Closed, Culvert Removal, Road Drainage Improvements, Community Engagement",Instream Restoration,2
0802-EP-OR-WF,Coquille Watershed Association,South Fork Coquille Restoration,http://www.coquillewatershed.org/,,42.909444,-124.056944,8/19/2008,11/30/2009,1,"This project placed 22 log and bolder structures in Rock Creek, improving spawning and rearing habitats for salmon and steelhead by capturing spawning gravels, stabilizing banks, and narrowing and deepening widened channels.","Instream Boulder Placement, Instream Large Wood Placement, Instream Log Jam Placement",Instream Restoration,2
1012-E-ID-N,Nez Perce Tribe ,Spring Creek Wetland and Riparian Restoration,http://www.nezperce.org/Official/departmentofnaturalresources.htm,,46.389242,-116.793139,8/23/2010,4/30/2011,1,The Spring Creek Wetland and Riparian Restoration Spring Project restored natural hydrologic function to a traditional wetland. Work included the removal of a concrete diversion head gate to restore passage of aquatic organisms; removal of old drain tile lines; removal of invasive weeds from the riparian area; reestablishment of eroded stream banks using wetland sod mats and plugs; and riparian buffer and upland plantings to reconnect and reestablish the riparian plant community.,"Wetland Restoration, Wetland Management, Riparian Planting and Revegetation, Push-up or Diversion Dam Removal",Instream Restoration,2
0803-EP-OR-WF,Illinois Valley Watershed Council,Sucker Creek Restoration,http://www.ivstreamteam.org/,,42.139652,-123.456406,6/11/2008,12/31/2009,1,"This Greyback/Sucker Creek Restoration Project involved removal of hazard trees and standing snags from a campground on Sucker Creek, and subsequent creation of large wood complexes in both Greyback and Sucker Creeks to increase the quantity and quality of Coho, Chinook salmon and steelhead habitat.",Instream Log Jam Placement,Instream Restoration,2
1103-E-OR-F,Illinois Valley Soil and Water Conservation District,Sucker Creek Restoration Phase 2A,http://www.ivstreamteam.org/,,42.160488,-123.515152,6/27/2011,4/30/2013,0,"Phase 2A of the Sucker Creek project aims to continue work immediately downstream of Phase 2, restoring the natural stream meander pattern and cooling Sucker Creek by realigning the mainstem through a mature forest. Major activities of this project include channel reconstruction, placement of large wood structures in the channel and floodplain, riparian planting, and road decommissioning.","Stream Channel Connectivity, Stream Channel Reconfiguration, Off-channel Habitat Construction, Instream Large Wood Placement, Instream Log Jam Placement, Road Decommissioned or Closed, Riparian Planting and Revegetation",Instream Restoration,2
1007-E-OR-F,Illinois Valley Watershed Council,Sucker Creek Restoration Phase II,http://www.ivstreamteam.org/,,42.163456,-123.497826,4/6/2010,5/30/2011,1,"Phase II of the Sucker Creek Restoration Project continued work just downstream of the prior year and included: realignment of the main stem; addition of stream sinuosity; narrowing of the channel; incorporation of a proper ratio of riffle structures, runs and glides; decommissioning of 0.8 miles of road; and placement of large wood structures.","Stream Channel Reconfiguration, Road Decommissioned or Closed, Instream Log Jam Placement",Instream Restoration,2
0904-EP-OR-NF,Illinois Valley Watershed Council,Sucker Creek Stream Restoration Phase I,http://www.ivstreamteam.org/,,42.157719,-123.474335,5/29/2009,12/31/2010,1,This grant provided funding to phase one of the Sucker Creek Stream Restoration Project. Work included creation of approximately 0.4 miles of new side channel with connection to a one-acre rearing pond; planting of trees and shrubs in the riparian area; and constructing off-channel habitat features.,"Off-channel Pond Habitat Construction, Side-channel Habitat Construction, Riparian Planting and Revegetation",Instream Restoration,2
0906-E-WA-N,Northwest Watershed Institute,Tarboo Creek Restoration,http://nwwatershed.org/,GOOD-NEED CARTOGRAPHIC AIDE,47.887367,-122.820175,4/24/2009,5/31/2010,1,"Funding to the Tarboo Creek Restoration Project provided enhancement of 30 acres of critical habitat, including 1500 linear feet of associated off-channel swales and floodplain wetlands. Work included placement of more than 200 logs, plugging of two drainage ditches to re-route spring flow to historic wetland swales, and removal of a road that crossed one of the wetlands. Tarboo Creek is the main freshwater source to Tarboo-Dabob Bay, one of the most important bays in Washington for shellfish production. ","Culvert Removal, Road Decommissioned or Closed, Wetland Restoration, Instream Large Wood Placement, Riparian Planting and Revegetation, Community Engagement",Instream Restoration,2
0816-EP-OR-WF,USDA Forest Service - Mt. Hood National Forest,Upper Middle Fork Hood River Restoration,http://www.fs.usda.gov/mthood/,,45.465556,-121.637778,4/1/2008,11/30/2009,1,Funding to the Clear Branch Creek Project assisted instream and floodplain restoration efforts. Approximately 500 logs were placed by helicopter from river mile 2.6 to river mile 3.1 in Clear Branch Creek. The creek is part of ongoing efforts to reverse the decline of the native bull trout population in the Upper Middle Fork Hood River 6th field watershed. ,"Instream Large Wood Placement, Instream Rootwad Placement",Instream Restoration,2
0811-E-OR-WF,Partnership for the Umpqua Rivers,Upper South Umpqua River Restoration Phase 2,http://www.umpquarivers.org/,,43.14275,-122.54335,6/21/2008,9/30/2011,1,"This grant provided funding for Phase 2 of the Upper South Umpqua Instream Restoration Project. A helicopter placed 134 pieces of large wood at nine sites covering two miles of the Black Rock Fork Creek to increase the channel roughness. Increased channel complexity now provides salmonid winter habitat during high flows, and the narrowing of channel width improved spawning and rearing habitat. ","Instream Large Wood Placement, Instream Log Jam Placement, Instream Rootwad Placement",Instream Restoration,2
1009-E-OR-N,McKenzie River Trust,Waite Ranch Tidal Wetland Restoration Project,http://mckenzieriver.org/,,43.99,-124.027,5/19/2010,9/30/2011,1,"The Waite Ranch Tidal Wetland Restoration Project will lead to restoration of 217 acres of tidal wetlands in the lower Siuslaw River estuary. Funding for the current phase included site assessment, baseline inventories and initial data delivery for development of the preliminary restoration design. The overarching goal of the project is to restore habitat to include estuarine intertidal emergent, scrub-shrub and forested wetland characteristics. ","Assessment, Planning, or Design; Baseline or Project Monitoring",Instream Restoration,2
